"Time (UTC)","Day-ahead Total Load Forecast [MW] - Ireland (IE)","Actual Total Load [MW] - Ireland (IE)"
"01.01.2021 00:00 - 01.01.2021 00:30","3426","3323"
"01.01.2021 00:30 - 01.01.2021 01:00","3319","3241"
"01.01.2021 01:00 - 01.01.2021 01:30","3185","3140"
"01.01.2021 01:30 - 01.01.2021 02:00","3016","3001"
"01.01.2021 02:00 - 01.01.2021 02:30","2948","2912"
"01.01.2021 02:30 - 01.01.2021 03:00","2856","2839"
"01.01.2021 03:00 - 01.01.2021 03:30","2782","2775"
"01.01.2021 03:30 - 01.01.2021 04:00","2719","2700"
"01.01.2021 04:00 - 01.01.2021 04:30","2679","2704"
"01.01.2021 04:30 - 01.01.2021 05:00","2660","2677"
"01.01.2021 05:00 - 01.01.2021 05:30","2620","2670"
"01.01.2021 05:30 - 01.01.2021 06:00","2603","2665"
"01.01.2021 06:00 - 01.01.2021 06:30","2635","2675"
"01.01.2021 06:30 - 01.01.2021 07:00","2625","2719"
"01.01.2021 07:00 - 01.01.2021 07:30","2610","2729"
"01.01.2021 07:30 - 01.01.2021 08:00","2631","2749"
"01.01.2021 08:00 - 01.01.2021 08:30","2636","2788"
"01.01.2021 08:30 - 01.01.2021 09:00","2622","2764"
"01.01.2021 09:00 - 01.01.2021 09:30","2705","2838"
"01.01.2021 09:30 - 01.01.2021 10:00","2817","2956"
"01.01.2021 10:00 - 01.01.2021 10:30","2953","3089"
"01.01.2021 10:30 - 01.01.2021 11:00","3154","3211"
"01.01.2021 11:00 - 01.01.2021 11:30","3353","3349"
"01.01.2021 11:30 - 01.01.2021 12:00","3515","3455"
"01.01.2021 12:00 - 01.01.2021 12:30","3585","3551"
"01.01.2021 12:30 - 01.01.2021 13:00","3687","3679"
"01.01.2021 13:00 - 01.01.2021 13:30","3700","3727"
"01.01.2021 13:30 - 01.01.2021 14:00","3693","3746"
"01.01.2021 14:00 - 01.01.2021 14:30","3632","3721"
"01.01.2021 14:30 - 01.01.2021 15:00","3567","3706"
"01.01.2021 15:00 - 01.01.2021 15:30","3556","3662"
"01.01.2021 15:30 - 01.01.2021 16:00","3556","3705"
"01.01.2021 16:00 - 01.01.2021 16:30","3604","3780"
"01.01.2021 16:30 - 01.01.2021 17:00","3785","3899"
"01.01.2021 17:00 - 01.01.2021 17:30","4039","4197"
"01.01.2021 17:30 - 01.01.2021 18:00","4109","4296"
"01.01.2021 18:00 - 01.01.2021 18:30","4095","4271"
