"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"01.01.2021 00:00 - 01.01.2021 01:00","n/e","n/e","n/e","n/e","n/e","n/e","2315","n/e","n/e"
"01.01.2021 01:00 - 01.01.2021 02:00","n/e","n/e","n/e","n/e","n/e","n/e","2180","n/e","n/e"
"01.01.2021 02:00 - 01.01.2021 03:00","n/e","n/e","n/e","n/e","n/e","n/e","2079","n/e","n/e"
"01.01.2021 03:00 - 01.01.2021 04:00","n/e","n/e","n/e","n/e","n/e","n/e","2009","n/e","n/e"
"01.01.2021 04:00 - 01.01.2021 05:00","n/e","n/e","n/e","n/e","n/e","n/e","1940","n/e","n/e"
"01.01.2021 05:00 - 01.01.2021 06:00","n/e","n/e","n/e","n/e","n/e","n/e","1883","n/e","n/e"
"01.01.2021 06:00 - 01.01.2021 07:00","n/e","n/e","n/e","n/e","n/e","n/e","1808","n/e","n/e"
"01.01.2021 07:00 - 01.01.2021 08:00","n/e","n/e","n/e","n/e","n/e","n/e","1713","n/e","n/e"
"01.01.2021 08:00 - 01.01.2021 09:00","n/e","n/e","n/e","n/e","n/e","n/e","1615","n/e","n/e"
"01.01.2021 09:00 - 01.01.2021 10:00","n/e","n/e","n/e","n/e","n/e","n/e","1524","n/e","n/e"
"01.01.2021 10:00 - 01.01.2021 11:00","n/e","n/e","n/e","n/e","n/e","n/e","1458","n/e","n/e"
"01.01.2021 11:00 - 01.01.2021 12:00","n/e","n/e","n/e","n/e","n/e","n/e","1395","n/e","n/e"
"01.01.2021 12:00 - 01.01.2021 13:00","n/e","n/e","n/e","n/e","n/e","n/e","1326","n/e","n/e"
