"MTU (UTC)","Generation - Solar  [MW] Day Ahead/ BZN|GB","Generation - Solar  [MW] Intraday / BZN|GB","Generation - Solar  [MW] Current / BZN|GB","Generation - Wind Offshore  [MW] Day Ahead/ BZN|GB","Generation - Wind Offshore  [MW] Intraday / BZN|GB","Generation - Wind Offshore  [MW] Current / BZN|GB","Generation - Wind Onshore  [MW] Day Ahead/ BZN|GB","Generation - Wind Onshore  [MW] Intraday / BZN|GB","Generation - Wind Onshore  [MW] Current / BZN|GB"
"01.01.2019 00:00 - 01.01.2019 01:00","0","N/A","","3865","N/A","","7806","N/A",""
"01.01.2019 01:00 - 01.01.2019 02:00","0","N/A","","3969","N/A","","7447","N/A",""
"01.01.2019 02:00 - 01.01.2019 03:00","0","N/A","","3976","N/A","","7055","N/A",""
"01.01.2019 03:00 - 01.01.2019 04:00","0","N/A","","3971","N/A","","6560","N/A",""
"01.01.2019 04:00 - 01.01.2019 05:00","0","N/A","","3905","N/A","","6155","N/A",""
"01.01.2019 05:00 - 01.01.2019 06:00","0","N/A","","3849","N/A","","5759","N/A",""
"01.01.2019 06:00 - 01.01.2019 07:00","0","N/A","","3753","N/A","","5412","N/A",""
"01.01.2019 07:00 - 01.01.2019 08:00","0","0","","3591","3687","","5072","4862",""
"01.01.2019 08:00 - 01.01.2019 09:00","132","155","","3386","3435","","4783","4593",""
"01.01.2019 09:00 - 01.01.2019 10:00","633","654","","3165","3124","","4456","4301",""
"01.01.2019 10:00 - 01.01.2019 11:00","1295","1430","","3001","2857","","4248","4080",""
"01.01.2019 11:00 - 01.01.2019 12:00","1885","2005","1837","2914","2760","2933","4090","3951","4114"
"01.01.2019 12:00 - 01.01.2019 13:00","2058","2085","1941","2912","2822","2961","4002","3881","4031"
"01.01.2019 13:00 - 01.01.2019 14:00","1623","1646","1587","2947","2786","2938","3853","3730","3877"
"01.01.2019 14:00 - 01.01.2019 15:00","885","887","903","3004","2817","2957","3653","3485","3636"
"01.01.2019 15:00 - 01.01.2019 16:00","170","166","172","3013","2866","2987","3380","3222","3374"
"01.01.2019 16:00 - 01.01.2019 17:00","0","0","0","3095","3062","3148","3162","3104","3213"
"01.01.2019 17:00 - 01.01.2019 18:00","0","0","6","3200","3230","3287","3015","3029","3096"
"01.01.2019 18:00 - 01.01.2019 19:00","0","0","0","3197","3252","3322","2834","2853","2909"
"01.01.2019 19:00 - 01.01.2019 20:00","0","0","0","3224","3245","3321","2697","2721","2787"
"01.01.2019 20:00 - 01.01.2019 21:00","0","0","0","3214","3292","3356","2594","2687","2728"
"01.01.2019 21:00 - 01.01.2019 22:00","0","0","0","3204","3238","3315","2501","2561","2611"
"01.01.2019 22:00 - 01.01.2019 23:00","0","0","0","3095","3160","3218","2310","2369","2408"
"01.01.2019 23:00 - 02.01.2019 00:00","0","0","0","2962","2975","3045","2119","2175","2215"
"02.01.2019 00:00 - 02.01.2019 01:00","0","N/A","","2883","N/A","","2030","N/A",""
"02.01.2019 01:00 - 02.01.2019 02:00","0","N/A","","2758","N/A","","1877","N/A",""
"02.01.2019 02:00 - 02.01.2019 03:00","0","N/A","","2605","N/A","","1730","N/A",""
"02.01.2019 03:00 - 02.01.2019 04:00","0","N/A","","2513","N/A","","1654","N/A",""
"02.01.2019 04:00 - 02.01.2019 05:00","0","N/A","","2451","N/A","","1612","N/A",""
"02.01.2019 05:00 - 02.01.2019 06:00","0","N/A","","2385","N/A","","1583","N/A",""
"02.01.2019 06:00 - 02.01.2019 07:00","0","N/A","","2326","N/A","","1550","N/A",""
"02.01.2019 07:00 - 02.01.2019 08:00","0","0","","2266","2233","","1518","1575",""
"02.01.2019 08:00 - 02.01.2019 09:00","226","430","","2147","2174","","1475","1537",""
"02.01.2019 09:00 - 02.01.2019 10:00","1129","1696","","2115","2044","","1453","1491",""
"02.01.2019 10:00 - 02.01.2019 11:00","2178","2875","","1950","1910","","1414","1463",""
"02.01.2019 11:00 - 02.01.2019 12:00","2745","3295","3008","1844","1629","1655","1380","1377","1350"
"02.01.2019 12:00 - 02.01.2019 13:00","2646","3160","2873","1738","1434","1439","1333","1293","1275"
"02.01.2019 13:00 - 02.01.2019 14:00","2010","2468","2361","1576","1367","1357","1263","1249","1231"
"02.01.2019 14:00 - 02.01.2019 15:00","1065","1160","1216","1448","1240","1230","1202","1206","1183"
"02.01.2019 15:00 - 02.01.2019 16:00","220","202","227","1345","1138","1126","1147","1185","1150"
"02.01.2019 16:00 - 02.01.2019 17:00","0","0","0","1299","1065","1070","1158","1163","1132"
"02.01.2019 17:00 - 02.01.2019 18:00","0","0","0","1267","1085","1085","1196","1194","1160"
"02.01.2019 18:00 - 02.01.2019 19:00","0","0","0","1231","1127","1117","1225","1245","1204"
"02.01.2019 19:00 - 02.01.2019 20:00","0","0","0","1202","1101","1098","1250","1274","1232"
"02.01.2019 20:00 - 02.01.2019 21:00","0","0","0","1190","1058","1067","1286","1310","1267"
"02.01.2019 21:00 - 02.01.2019 22:00","0","0","0","1164","1041","1057","1307","1356","1316"
"02.01.2019 22:00 - 02.01.2019 23:00","0","0","0","1082","979","1007","1288","1352","1306"
"02.01.2019 23:00 - 03.01.2019 00:00","0","0","0","1027","903","947","1287","1354","1309"
